journal,canonical_year,doi,title,subtype,selection_tier,selected_sections,teaching_function,transfer_limit,metadata_note
JF,2020,10.1111/jofi.12869,How Does Credit Supply Expansion Affect the Real Economy? The Productive Capacity and Household Demand Channels,bank_nonbank_credit_supply,core,abstract; introduction; institutional setting; data/design; results/mechanism; conclusion,Opens with two rival real-economy channels and orders U.S. and international evidence around their distinct price-and-quantity predictions.,The tradable-nontradable discriminator and deregulation instruments are setting-specific; do not label every credit boom a supply shock.,
JF,2022,10.1111/jofi.13074,The Loan Covenant Channel: How Bank Health Transmits to the Real Economy,bank_nonbank_credit_supply,core,abstract; introduction; institutional setting; data/design; results/mechanism; conclusion,Turns apparently long-maturity credit into a renegotiation puzzle and links covenant breaches lender health commitment cuts and real outcomes.,Covenant leverage and confidential supervisory data are unusual; the long front matter is not a default template.,
JF,2024,10.1111/jofi.13384,FinTech Credit and Entrepreneurial Growth,bank_nonbank_credit_supply,core,abstract; introduction; institutional setting; data/design; results/mechanism; conclusion,Uses an algorithmic cutoff to connect FinTech credit to firm growth and organizes mechanisms around information asymmetry and collateral scarcity.,The proprietary platform cutoff and digital-footprint advantage do not transfer automatically; opacity heterogeneity alone is not a mechanism test.,
JF,2025,10.1111/jofi.13444,How Much Does Racial Bias Affect Mortgage Lending? Evidence from Human and Algorithmic Credit Decisions,bank_nonbank_credit_supply,section_specific,abstract; introduction; data/design; selected results; conclusion,Separates observed denial gaps algorithmic recommendations unobserved underwriting risk and differential treatment before stating a bounded conclusion.,Algorithmic recommendations are not a universal race-neutral benchmark and the evidence supports bounds rather than absence of discrimination.,
JF,2021,10.1111/jofi.13013,Banking on Deposits: Maturity Transformation without Interest Rate Risk,deposits_funding_capital_liquidity,core,abstract; introduction; model; data; results; conclusion,Reverses the textbook premise states the deposit-franchise hedge mechanism and maps aggregate and cross-bank evidence to its predictions.,Deposit-market power and the sample period delimit the hedge result; do not infer that all banks are immune to rate risk.,
JF,2020,10.1111/jofi.12958,The Forced Safety Effect: How Higher Capital Requirements Can Increase Bank Lending,deposits_funding_capital_liquidity,section_specific,abstract; introduction; model; calibration; predictions; conclusion,Builds a countervailing mechanism in which tighter capital can raise lending and uses calibration to show when the sign changes.,The sign reversal is model- and calibration-dependent; it is not a reduced-form estimate of a particular capital reform.,
JF,2025,10.1111/jofi.13411,"Bank Funding Risk, Reference Rates, and Credit Supply",deposits_funding_capital_liquidity,core,abstract; introduction; model; data; calibration; welfare; conclusion,Connects credit-line drawdowns wholesale funding benchmark design deposits and welfare through a full balance-sheet mechanism.,Large-bank regulatory data and assumed drawdown-deposit behavior limit extrapolation to smaller banks and nonbank credit lines.,
JF,2020,10.1111/jofi.12846,Access to Collateral and the Democratization of Credit: France’s Reform of the Napoleonic Security Code,screening_contracting_collateral,core,abstract; introduction; institutional setting; design; results; robustness; conclusion,Uses a legal collateral reform to move from credit access to firm outcomes entry geography and allocation while keeping treatment explicit.,The civil-law reform and fixed-asset exposure are setting-specific and are not a generic collateral instrument.,
JF,2022,10.1111/jofi.13184,Loan Terms and Collateral: Evidence from the Bilateral Repo Market,screening_contracting_collateral,core,abstract; introduction; institutional setting; data/design; results; conclusion,Distinguishes collateral screening bargaining and loan-term incidence in bilateral repo with institutional detail and contract-level tests.,Repo collateral and bargaining institutions are specialized; do not transfer predictions to ordinary corporate loans without justification.,
JF,2023,10.1111/jofi.13252,Barter Credit: Warehouses as a Contracting Technology,screening_contracting_collateral,core,abstract; introduction; institutional setting; identification; mechanisms; robustness; conclusion,Treats storage as a contracting technology and orders evidence from debt capacity to competing mechanisms and real outcomes.,A single agribusiness lender and warehouse technology bound external validity; staggered adoption does not solve every placement concern.,
