journal,canonical_year,doi,title,subtype,selection_tier,selected_sections,teaching_function,transfer_limit,metadata_note
"JF","2020","10.1111/jofi.12883","Taming the Factor Zoo: A Test of New Factors","factor_sdf_model_tests","core","abstract; unheaded introduction; methodology; empirical analysis; robustness; conclusion","Defines the contribution of a new factor as incremental pricing content relative to a high-dimensional benchmark and keeps SDF loadings distinct from risk-premium estimates.","Double-selection LASSO assumptions and a 150-factor library are problem-specific; do not impose this procedure on a low-dimensional factor paper.",""
"JF","2023","10.1111/jofi.13216","Duration-Driven Returns","theory_empirical_measurement","core","abstract; unheaded introduction; cash-flow timing; dividend-futures tests; factor regressions; conclusion","Compresses several major factors into a common economic attribute and then tests that explanation using cash flows at different maturities rather than another correlated sort.","Single-stock dividend futures are unusually informative; ordinary equity sorts alone cannot support the same duration interpretation.",""
"JF","2024","10.1111/jofi.13317","Measuring “Dark Matter” in Asset Pricing Models","theory_empirical_measurement","core","abstract; unheaded introduction; motivating example; formal measure; quantitative examples; out-of-sample implications; conclusion","Moves from an intuitive model-fragility problem to a formal diagnostic and then demonstrates what the diagnostic changes in familiar structural models.","The cosmology analogy cannot substitute for the formal information restrictions; applications require structural-model and specification-test expertise.",""
"JF","2021","10.1111/jofi.12970","Model-Free International Stochastic Discount Factors","factor_sdf_model_tests","supporting","abstract; unheaded introduction; theoretical framework; market-structure comparison; SDF decomposition; empirical analysis; conclusion","Uses alternative market structures to organize theory and empirics around exactly which SDF and exchange-rate relations survive integration or segmentation.","Minimum-dispersion SDFs are analytical objects rather than direct measures of marginal utility; segmentation assumptions must remain explicit.",""
"JF","2021","10.1111/jofi.13026","Asset Managers: Institutional Performance and Factor Exposures","fund_institutional_performance","core","abstract; unheaded introduction; data; benchmark ladder; gross and net performance; factor exposures; conclusion","States performance in basis points and moves through strategy benchmarks, fees, factor exposure and feasible institutional alternatives before interpreting skill.","The proprietary institutional-account sample and 2000–2012 period do not justify claims about all managers or retail mutual funds.",""
"JF","2022","10.1111/jofi.13123","Luck versus Skill in the Cross Section of Mutual Fund Returns: Reexamining the Evidence","fund_institutional_performance","core","abstract; unheaded introduction; method comparison; size-and-power simulations; empirical reconciliation; conclusion","Turns conflicting published conclusions into a precise comparison of sample construction, bootstrap design, test size and power.","The reconciliation is bootstrap- and sample-specific; it is not a general license to label extreme fund returns as skill.",""
"JF","2020","10.1111/jofi.12876","What Drives Anomaly Returns?","return_facts_anomalies","core","abstract; unheaded introduction; return decomposition; anomaly evidence; overfitting checks; interpretation; conclusion","Reorganizes anomaly evidence around cash-flow and discount-rate news and uses the same decomposition across individual anomalies and their efficient combination.","VAR news components are model-dependent and evidence from five anomalies should not be presented as a universal decomposition of the factor zoo.",""
"JF","2025","10.1111/jofi.13501","Anomalies and Their Short-Sale Costs","market_efficiency_limits_implementation","core","abstract; unheaded introduction; anomaly and borrow-fee data; gross returns; high-fee exclusions; fee-adjusted returns; conclusion","Builds an implementation funnel from published anomaly returns to feasible short positions and net returns while keeping the short leg visible.","Borrow fees and lending availability vary by investor and period; the estimates do not prove that every anomaly is untradeable for every institution.",""
"JF","2025","10.1111/jofi.13415","Test Assets and Weak Factors","factor_sdf_model_tests","core","abstract; unheaded introduction; methodology; simulations; empirical analysis; model diagnosis; conclusion","Shows that weak-factor inference and test-asset choice are one problem and makes the diagnostic role of the selected cross-section part of the main claim.","The SPCA solution is technically specialized and does not supply a universally optimal set of test assets.",""
"JF","2020","10.1111/jofi.12949","The Banking View of Bond Risk Premia","time_series_macro","core","abstract; unheaded introduction; state-variable construction; real-time return forecasts; benchmark comparisons; interpretation challenges; conclusion","Introduces an intermediary balance-sheet object missing from standard bond-premium work and tests forecasting power before discussing equilibrium interpretation.","Forecasting Treasury returns with bank exposure does not alone identify a causal bank-balance-sheet pricing channel.",""
"JF","2022","10.1111/jofi.13100","Late to Recessions: Stocks and the Business Cycle","time_series_macro","supporting","abstract; unheaded introduction; stylized facts; real-time state-space framework; strategy evidence; mechanism evidence; conclusion","Begins with a state-dependent return pattern and then separates real-time recession measurement, portfolio consequences and a possible expectations mechanism.","The number of recession episodes is limited and conclusions depend on real-time state classification rather than revised macroeconomic dates.",""
"JF","2022","10.1111/jofi.13120","Volatility Expectations and Returns","theory_empirical_measurement","core","abstract; unheaded introduction; survey evidence; option-price evidence; model; calibration; alternative explanations; conclusion","Triangulates a belief mechanism with surveys, volatility-linked claims and a calibrated model instead of treating a fitted model as mechanism evidence by itself.","The representative-agent calibration and extrapolative-belief specification are not separately identified by every matched moment.",""
"JF","2024","10.1111/jofi.13331","A Horizon-Based Decomposition of Mutual Fund Value Added Using Transactions","fund_institutional_performance","core","abstract; unheaded introduction; motivating model; transaction decomposition; horizon results; trading costs; conclusion","Lets the economic horizon determine the performance decomposition and connects turnover, price impact and announcement-day value added.","The transaction data and horizon-specific value-added measure are unusual; announcement concentration should not be generalized to other fund populations.",""
"JF","2025","10.1111/jofi.13469","Segmented Arbitrage","market_efficiency_limits_implementation","core","abstract; unheaded introduction; motivating model; factor structure of spreads; funding evidence; balance-sheet evidence; discussion","Uses the low comovement of 32 arbitrage spreads to reject a representative-intermediary benchmark and then brings in quantity data to distinguish two forms of segmentation.","Spread correlations alone do not identify funding versus balance-sheet segmentation and some apparent arbitrages retain operational risk.","The MinerU conclusion heading is incompletely recovered; use the discussion-and-conclusion content rather than the heading token."
"JF","2025","10.1111/jofi.13477","Forest through the Trees: Building Cross-Sections of Stock Returns","ml_prediction","core","abstract; unheaded introduction; test-asset objective; tree construction; pruning; empirical design; out-of-sample tests; conclusion","Frames trees as a way to construct informative and interpretable test assets rather than as a generic forecasting contest and evaluates spanning out of sample.","Tree splits and pruning depend on the characteristic universe; the procedure is not a drop-in replacement for a paper whose object is pure return prediction.",""
"JF","2024","10.1111/jofi.13372","Anomaly Time","return_facts_anomalies","core","abstract; unheaded introduction; information-processing predictions; release-date data; timing results; implementation guidance; conclusion","Makes information availability part of the economic fact and distinguishes stale signals from look-ahead bias before recommending portfolio timing.","Compustat Snapshot mainly disciplines accounting signals; the same release convention need not apply to market or alternative data.",""
"JFE","2020","10.1016/j.jfineco.2020.06.006","Asset Pricing: A Tale of Night and Day","return_facts_anomalies","core","abstract; introduction; data and methodology; session decomposition; portfolio and stock tests; mechanisms; conclusion","Resolves a weak full-day CAPM relation by decomposing returns at an economically meaningful market boundary and repeating the contrast across assets and countries.","Overnight and intraday returns have distinct microstructure and institutional features; the result is not a general vindication of the CAPM.","MinerU retains a Journal Pre-proof label; DOI and year come from the strict final-publication inventory."
"JFE","2020","10.1016/j.jfineco.2019.06.004","Anomalies across the globe: Once public, no longer existent?","return_facts_anomalies","core","abstract; introduction; anomaly construction; pre/post-sample tests; pre/post-publication tests; cross-country comparison; conclusion","Uses a large international design to distinguish post-publication decay, post-sample decay and cross-market arbitrage barriers rather than reporting another anomaly average.","Publication dates, database quality and feasible trading differ across countries; non-US persistence is not by itself proof of mispricing.","MinerU retains an Accepted Manuscript label; canonical publication year is 2020."
"JFE","2020","10.1016/j.jfineco.2020.03.009","The conditional expected market return","time_series_macro","supporting","abstract; introduction; theoretical bounds; option-based construction; empirical tightness; term structure; conclusion","Begins with an economically central unobservable object and derives real-time upper and lower bounds before reporting their tightness and magnitude.","The estimates remain bounds under no-arbitrage and preference restrictions; they should not be described as directly observed expected returns.","MinerU retains a Journal Pre-proof label."
"JFE","2020","10.1016/j.jfineco.2020.02.012","What you see is not what you get: The costs of trading market anomalies","market_efficiency_limits_implementation","core","abstract; introduction; related literature; implementation-cost estimator; mutual-fund evidence; factor comparisons; conclusion","Turns the paper-versus-practice question into an all-in implementation-cost estimand and reports how costs differ across factors.","Manager-return exposures deliver aggregate implementation estimates rather than the cost schedule of a particular optimal trade.","MinerU retains a Journal Pre-proof label."
"JFE","2020","10.1016/j.jfineco.2020.04.004","Why do discount rates vary?","time_series_macro","core","abstract; introduction; motivating moment; methodology; stock and bond evidence; model discrimination; conclusion","Narrows a broad theoretical dispute to the sign of the price of discount-rate risk and explains why that moment discriminates among mechanisms.","One diagnostic moment narrows models but cannot identify a complete preference, technology or belief mechanism.","MinerU retains a Journal Pre-proof label."
"JFE","2021","10.1016/j.jfineco.2021.04.024","Spectral factor models","factor_sdf_model_tests","supporting","abstract; introduction; intuition; formal factor structure; identification; empirical application; conclusion","Introduces frequency-specific factors first through economic intuition and only then through formal representation, identification and pricing tests.","Spectral components are statistical cycles rather than automatically interpretable economic shocks.",""
"JFE","2021","10.1016/j.jfineco.2020.12.003","Estimating the anomaly base rate","return_facts_anomalies","core","abstract; introduction; seminar thought experiment; inference problem; simulations; anomaly estimates; conclusion","Makes the latent universe of unsuccessful research attempts explicit and connects a familiar single test to the posterior probability that an anomaly is real.","The estimated base rate depends on a model of the unobserved research universe and should not become a universal prior for every signal family.",""
"JFE","2021","10.1016/j.jfineco.2021.05.015","Market efficiency and limits to arbitrage: Evidence from the Volkswagen short squeeze","market_efficiency_limits_implementation","core","abstract; introduction; institutional chronology; option strategy and constraints; price evidence; intraday evidence; conclusion","Uses a vivid event only as the entry point and then reconstructs positions, margin constraints, fundamental value and trading behavior before interpreting inefficiency.","The Volkswagen episode is exceptional and ex post institutional reconstruction does not transfer mechanically to routine mispricing settings.",""
