"journal","canonical_year","doi","title","why_not_core","evaluation_use"
"JF","2023","10.1111/jofi.13197","Bayesian Solutions for the Factor Zoo: We Just Ran Two Quadrillion Models","Strong contribution but highly specialized Bayesian/SDF exposition and rapid entry into technical detail reduce general transferability.","Test whether the asset-pricing skill handles high-dimensional method papers without forcing the selected factor-testing scaffold."
"JF","2022","10.1111/jofi.13126","Long-Run Risk: Is It There?","Extensive test families could teach a robustness laundry list if used as the main anchor.","Test whether validation is grouped by failure mode rather than by the order of specifications."
"JF","2022","10.1111/jofi.13119","Common Risk Factors in Cryptocurrency","Clear modules but too many predictors, mechanisms, and additional-result blocks for a compact general model.","Test compression and prioritization for a broad emerging-asset paper."
"JF","2025","10.1111/jofi.13402","Carbon Returns across the Globe","The corrective, debate-facing framing and strong truth-language are useful locally but unsafe to generalize.","Test whether a replication/correction task preserves evidentiary caution."
"JFE","2025","10.1016/j.jfineco.2025.104076","CRISK: Measuring the climate risk exposure of the financial system","Validation and mechanism architecture is useful, but the local introduction is truncated and the metric is topic-specific.","Test measurement-paper routing without relying on a clean extracted introduction."
"JFE","2025","10.1016/j.jfineco.2024.103950","Customer data access and fintech entry: Early evidence from open banking","Strong abstract and quantitative combination, but the local source does not support a reliable full-introduction audit.","Test source-boundary behavior when one section is unavailable or corrupted."
"JFE","2025","10.1016/j.jfineco.2025.104039","Investor demand, firm investment, and capital misallocation","Strong structural introduction, but the abstract extraction is damaged and the teaching function overlaps the selected quantitative model.","Test a structural capital-markets application on an unseen topic."
"JFE","2024","10.1016/j.jfineco.2024.103887","The reserve supply channel of unconventional monetary policy","The model-to-demand-system-to-counterfactual sequence is sound but overlaps the selected structural intermediation anchors.","Test whether the skill transfers to monetary-policy plumbing."
"RFS","2022","10.1093/rfs/hhab094","A Theory of Liquidity Spillover between Bond and CDS Markets","A strong theory structure was reserved to avoid tuning all theory rules to selected exemplars.","Test primitives-to-predictions transfer on a held-out market-liquidity model."
"RFS","2025","10.1093/rfs/hhaf006","Investor Memory","The multi-experiment mechanism tree is complete but has many headings and could induce over-fragmentation.","Test whether the causal skill can compress a multi-experiment paper without losing mechanism distinctions."
"RFS","2024","10.1093/rfs/hhae081","War Discourse and Disaster Premium: 160 Years of Evidence from the Stock Market","Text measurement and robustness are strong, but the war setting and long front/back matter are unusually specialized.","Test historical-text measurement and scope calibration."
"RFS","2024","10.1093/rfs/hhad089","Disclosure of Bank-Specific Information and the Stability of Financial Systems","The phrase robust disclosure is a model concept, not a robustness section, making it a useful keyword-screen counterexample.","Test that routing and section recognition use semantics rather than keyword presence."
