journal,canonical_year,doi,title,subtype,selection_tier,selected_sections,teaching_function,transfer_limit,metadata_note
JF,2020,10.1111/jofi.12867,What Is a Patent Worth? Evidence from the U.S. Patent “Lottery”,iv_patent_lottery,core,abstract; introduction; design; validation/robustness; mechanisms/boundaries; conclusion,"Defines the IV estimand before presenting examiner leniency; aligns first stage, instrument validity, threats, real outcomes, financing channel, and external validity.",Examiner leniency and patent assignment are design-specific; do not treat a first-stage correlation or lottery metaphor as an exclusion-restriction argument.,
JF,2020,10.1111/jofi.12846,Access to Collateral and the Democratization of Credit: France’s Reform of the Napoleonic Security Code,did_matching_policy_reform,core,abstract; introduction; design; validation/robustness; mechanisms/boundaries; conclusion,"Moves from a legal reform and treated-control construction to parallel trends, matched DiD estimates, cross-subsample checks, real effects, and bounded interpretation.","Matched DiD does not eliminate unobserved differential trends, and France’s collateral codification is not a universal credit-supply shock.",
JF,2020,10.1111/jofi.12954,"Bad Credit, No Problem? Credit and Labor Market Consequences of Bad Credit Reports",did_policy_event_study_household,section_specific,abstract; introduction; design; validation/robustness; mechanisms/boundaries; conclusion,"Links a timed reporting change to credit and labor outcomes, then separates direct outcome families and the employer-use mechanism.",Timing and reporting institutions are setting-specific; employer purchases and mechanism outcomes do not automatically identify one exclusive channel.,
JF,2020,10.1111/jofi.12880,Can Unemployment Insurance Spur Entrepreneurial Activity? Evidence from France,did_policy_entrepreneurship,core,abstract; introduction; design; validation/robustness; mechanisms/boundaries; conclusion,"Explains the policy comparison and identifying assumption in plain language, then distinguishes marginal effects, aggregate employment, productivity, and external validity.",The treatment margin and external validity are tied to the French unemployment-insurance reform; the long concluding discussion is not a length target.,
JF,2020,10.1111/jofi.12851,The Impact of Salience on Investor Behavior: Evidence from a Natural Experiment,did_natural_experiment_behavior,section_specific,abstract; introduction; design; validation/robustness; mechanisms/boundaries; conclusion,"Turns an interface change into a natural experiment and sequences individual-level estimates, DiD confirmation, robustness, and competing behavioral mechanisms.",The interface shock and brokerage population are unusual; behavioral channel evidence narrows explanations but need not prove salience uniquely.,
JF,2020,10.1111/jofi.12964,The Impact of Supervision on Bank Performance,iv_supervision_banking,core,abstract; introduction; design; validation/robustness; mechanisms/boundaries; conclusion,"Makes supervisory intensity, its instrument, district controls, performance outcomes, and alternative explanations separate pieces of the identification case.",The supervisory-hours instrument and district structure are institutional; the result should not be generalized to all forms of supervision.,
JF,2021,10.1111/jofi.13021,How Debit Cards Enable the Poor to Save More,did_event_study_financial_inclusion,core,abstract; introduction; design; validation/robustness; mechanisms/boundaries; conclusion,Uses an event-study DiD to establish rollout effects before survey-based evidence and a dedicated mechanism section explain why debit cards change saving.,The staged rollout and account system support this event study; survey corroboration is not itself experimental mechanism identification.,
JF,2021,10.1111/jofi.12990,The Impact of Repossession Risk on Mortgage Default,rdd_mortgage,core,abstract; introduction; design; validation/robustness; mechanisms/boundaries; conclusion,"Pairs a discontinuity with bandwidth checks, magnitude and external-validity discussion, and margins of excess default rather than ending at statistical significance.",The discontinuity identifies a local effect and bandwidth sensitivity remains material; do not generalize it to all mortgage-default regimes.,
JF,2021,10.1111/jofi.12978,The Limits of Limited Liability: Evidence from Industrial Pollution,did_legal_reform_externality,core,abstract; introduction; design; validation/robustness; mechanisms/boundaries; conclusion,"Connects a liability doctrine change to emissions, firm value, and solvency, and keeps the channel, heterogeneity, and robustness in distinct evidentiary blocks.","Legal doctrines, environmental measurement, and corporate groups are specific; channel and heterogeneity results should not be promoted to mediation.",
JF,2022,10.1111/jofi.13088,Increasing Enrollment in Income-Driven Student Loan Repayment Plans: Evidence from the Navient Field Experiment,rct_encouragement_student_debt,core,abstract; introduction; design; validation/robustness; mechanisms/boundaries; conclusion,"Separates experimental validity, intent-to-treat, local average treatment effect, borrower heterogeneity, and alternative interpretations in a field experiment.",The IV/LATE interpretation depends on take-up induced by the outreach; ITT and treatment-on-treated language cannot be interchanged.,
