"journal","canonical_year","doi","title","subtype","selection_tier","selected_sections","teaching_function","transfer_limit","metadata_note"
"JF","2020","10.1111/jofi.12867","What Is a Patent Worth? Evidence from the U.S. Patent “Lottery”","causal_empirical_iv","core","abstract; introduction; identification; mechanisms; conclusion","Separates the value of patent rights from invention quality, then aligns the IV assumptions, threats, external validity, and financing channel with that estimand.","Examiner-leniency arguments are design-specific and cannot be transplanted to an unrelated IV.",""
"JF","2022","10.1111/jofi.13074","The Loan Covenant Channel: How Bank Health Transmits to the Real Economy","intermediation_causal","core","introduction; design triangulation; results; aggregate interpretation","Turns the apparent durability of long-term loans into a puzzle and uses complementary designs to move from lending adjustments to real and aggregate consequences.","The aggregate decomposition and unusually long front matter depend on special supervisory data and are not a default template.",""
"JF","2024","10.1111/jofi.13303","Lender Automation and Racial Disparities in Credit Access","fintech_causal_mechanisms","core","introduction; mechanisms; alternative explanations; results","Prestates competing channels and assigns distinct data and tests to each, so the evidence narrows explanations rather than relabeling heterogeneity after the fact.","The evidence blocks do not all have identical causal strength, and the long introduction should not be copied as a length target.",""
"JF","2025","10.1111/jofi.13388","Personal Communication in an Automated World: Evidence from Loan Repayments","household_finance_quasi_experiment","section_specific","abstract; selection-versus-process distinction; external validity","Distinguishes nonrandom contact from operational variation in completed communication and keeps mechanism, persistence, and scope separate.","The conclusion is unusually thin and some mechanism evidence is suggestive, so use it only for the named functions.",""
"JF","2025","10.1111/jofi.13462","What Is the Cost of Privatization for Workers?","policy_causal_did","core","abstract; introduction; benefit-cost evidence chain; conclusion","Presents worker costs and firm benefits in the same argument and sequences baseline effects, alternative definitions, heterogeneity, and policy mitigation.","The benefit-cost framing is not a complete social-welfare calculation and remains conditional on the design.",""
"JF","2020","10.1111/jofi.12883","Taming the Factor Zoo: A Test of New Factors","asset_pricing_method","core","introduction; method exposition; validation; robustness","Builds a clean problem-to-method chain around why existing factor tests fail and organizes validation around tuning, test assets, and model selection.","Its high-dimensional terminology and particular estimator are not requirements for ordinary asset-pricing papers.",""
"JF","2023","10.1111/jofi.13216","Duration-Driven Returns","asset_pricing_multi_evidence","core","introduction; evidence order; identification; mechanisms","Orders cash-flow facts, a duration factor, conventional asset tests, dividend-strip identification, and bond evidence so each layer narrows the explanation set.","The unusually rich dividend-futures evidence is not a required number of tests for other papers.",""
"JF","2024","10.1111/jofi.13317","Measuring “Dark Matter” in Asset Pricing Models","asset_pricing_theory_measurement","section_specific","concept introduction; formal definition; applications; conclusion","Moves from a motivating example to a formal diagnostic, explains why the object matters, and then translates it into model-choice and data-collection implications.","The object is abstract; use this for concept exposition, not as a generic abstract or introduction template.",""
"JF","2020","10.1111/jofi.12864","Relationship Trading in Over-the-Counter Markets","market_microstructure_structural","core","facts-to-model bridge; structural identification; fit; policy counterfactual","Gives descriptive facts, the model, structural estimation, parameter identification, fit, sensitivity, and policy analysis distinct evidentiary jobs.","The policy and welfare interpretation is conditional on the OTC model and is not a reduced-form template.",""
"JF","2022","10.1111/jofi.13159","Bank Market Power and Monetary Policy Transmission: Evidence from a Structural Estimation","intermediation_structural","core","introduction; friction-channel map; parameter mapping; counterfactuals","Maps several banking frictions into distinct transmission channels, estimates them, removes them one at a time, and checks the resulting model externally.","Model-implied decompositions must remain conditional on identification, fit, and maintained structure.",""
"JF","2023","10.1111/jofi.13213","A Model of Systemic Bank Runs","intermediation_theory","section_specific","abstract; mechanism loop; model progression; policy mapping","Compresses within-bank coordination and cross-bank price externalities into a feedback loop, then develops liquid-asset, uncertainty, and policy extensions.","The paper and literature positioning are long; learn the mechanism map, not its length or section granularity.",""
"JF","2025","10.1111/jofi.13405","Decentralized Exchange: The Uniswap Automated Market Maker","market_design_hybrid","section_specific","institutional exposition; theory-empirics bridge; market comparison","Explains an unfamiliar market institution before stating its central tradeoff and mapping the framework to comprehensive transaction data.","The protocol and smart-contract details are institution-specific and should not become generic market-design requirements.",""
"JFE","2025","10.1016/j.jfineco.2025.104145","Finance without exotic risk","asset_pricing_measurement","core","abstract; introduction; results synthesis; conclusion","Starts from the joint-hypothesis problem, explains a measurement innovation and its limits, and sequences three result families before returning to the economic interpretation.","The debate is field-wide and the claims are strong; narrower papers should not imitate its exclusivity or length.",""
"JFE","2025","10.1016/j.jfineco.2025.104083","A quantitative analysis of bank lending relationships","intermediation_quantitative","core","abstract; model-data mapping; validation; shocks; conclusion","Separates empirical motivation, model construction, directly estimated parameters, untargeted validation, mechanism comparisons, and aggregate shocks.","Its long introduction and multi-layer model fit quantitative work, not a short reduced-form paper.",""
"JFE","2025","10.1016/j.jfineco.2025.104094","Price regulation in two-sided markets: Empirical evidence from debit cards","market_design_causal_policy","core","abstract; introduction; multi-side results; robustness; conclusion","Defines the two-sided policy problem and reports transmission in the order banks, merchants, and consumers, while keeping welfare claims within observed outcomes.","Do not infer total welfare from one side's price or quantity when other margins are unobserved.",""
"JFE","2024","10.1016/j.jfineco.2024.103871","The death of a regulator: Strict supervision, bank lending, and business activity","intermediation_causal","core","introduction; competing channels; results order; external validity; conclusion","Frames credit contraction and improved management as competing consequences of stricter supervision, then organizes evidence to distinguish them.","The regulator transition is rare and the long introduction is an argument map, not a fixed paragraph template.",""
"JFE","2024","10.1016/j.jfineco.2024.103797","How does competition affect retail banking? Quasi-experimental evidence from bank mergers","intermediation_quasi_experiment","core","introduction; assumptions; placebo; heterogeneous outcomes; conclusion","Makes the threshold, first stage, identifying assumptions, placebo evidence, and local scope visible while preserving different results across products.","The merger-threshold estimate is local and should not become a universal statement that competition is beneficial.",""
"JFE","2024","10.1016/j.jfineco.2024.103811","Limited attention to detail in financial markets: Evidence from reduced-form and structural estimation","household_hybrid_structural","core","abstract; reused-design confounds; reduced-form-structural triangulation","Shows how to reuse an existing natural experiment responsibly by listing new confounds and using additional evidence plus a structural model to quantify them.","A structural model solves specific interpretation problems here; it is not a compulsory add-on to every natural experiment.",""
"JFE","2023","10.1016/j.jfineco.2023.103719","Sorting out the effect of credit supply","intermediation_structural","core","abstract; facts-to-model bridge; identification; decomposition; conclusion","Uses nonrandom bank-firm matching to motivate an assignment model and makes the model responsible for separating supply from demand.","The recovered supply share depends on functional-form and identification assumptions and is not model-free.",""
"JFE","2023","10.1016/j.jfineco.2023.103710","Competition and selection in credit markets","intermediation_theory_empirical","core","abstract; counterintuitive hook; predictions; alternatives; conclusion","Turns a counterintuitive pricing prediction into mechanism-specific heterogeneity and administrative-data tests, then treats alternative channels together.","The selection-cost mechanism and risky-borrower conditions limit any general policy claim about competition.",""
"JFE","2022","10.1016/j.jfineco.2022.07.008","Corporate culture: Evidence from the field","corporate_finance_measurement","core","abstract; construct definition; validation; placebo; limitations","Demonstrates how a noncausal survey paper can earn credibility by distinguishing constructs, validating measures externally, and stating selection and response-bias limits.","Executive beliefs and correlations cannot be rewritten as evidence that culture causes firm value.",""
"JFE","2021","10.1016/j.jfineco.2020.09.004","On the direct and indirect real effects of credit supply shocks","intermediation_causal_network","core","identification threats; out-of-sample validation; channels; equilibrium effects","Estimates the shock, discusses threats, validates it on loan applications outside the estimation sample, and only then reports direct, network, and price channels.","The network decomposition requires unusually comprehensive administrative and input-output data and does not make each channel exclusive.",""
"JFE","2021","10.1016/j.jfineco.2020.08.002","Sticking to your plan","household_behavioral_hybrid","core","abstract; model-to-measure bridge; robustness; alternative interpretations","Uses a parsimonious model to show how high-frequency behavior maps to impatience and sophistication, then derives classifications and predictions for the data.","A behavioral proxy alone does not identify present bias; the construct remains model- and data-dependent.",""
"JFE","2020","10.1016/j.jfineco.2020.06.006","Asset Pricing: A Tale of Night and Day","asset_pricing_decomposition","core","abstract; introduction; result narration; discussion; conclusion","Decomposes an apparent full-day pricing failure into opposing daytime and overnight relations and keeps the final mechanism interpretation cautious.","Use it for puzzle decomposition and readable results, not as a complete causal-mechanism template.",""
"RFS","2020","10.1093/rfs/hhaa009","Empirical Asset Pricing via Machine Learning","asset_pricing_machine_learning","core","abstract; introduction; out-of-sample evidence; economic value","Translates a method comparison into out-of-sample prediction, investor value, variable importance, and implications for measuring expected returns.","A model tournament or Sharpe improvement is not a required contribution for every asset-pricing paper.",""
"RFS","2021","10.1093/rfs/hhab028","The Rate of Return on Real Estate: Long-Run Micro-Level Evidence","asset_pricing_measurement","section_specific","abstract; measurement audit; benchmarks; result decomposition","Writes the paper as an audit of a historically mismeasured object and uses unique micro records plus transparent benchmarks to map the evidence.","The archival setting is exceptional and the paper is not a causal-identification template.",""
