journal,canonical_year,doi,title,subtype,selection_tier,selected_sections,teaching_function,transfer_limit,metadata_note
JF,2020,10.1111/jofi.12864,Relationship Trading in Over-the-Counter Markets,structural_estimation_intermediation_markets,core,abstract; introduction; model; structural identification/estimation; fit/validation; counterfactuals/welfare or decomposition; conclusion,"Starts with OTC relationship facts, sets up the trading-network model, explains estimation and parameter identification, shows fit and sensitivity, and only then runs policy experiments.",The OTC-network policy results are conditional on the trading model and insurer setting; model fit on observed behavior does not validate every off-support policy counterfactual.,
JF,2020,10.1111/jofi.12842,Houses as ATMs: Mortgage Refinancing and Macroeconomic Uncertainty,quantitative_calibrated_intermediation_markets,core,abstract; introduction; model; calibration/targets; fit/validation; quantitative results/counterfactuals; conclusion,"Separates externally set parameters from simulated-moments estimation and data targets, then maps a refinancing model to consumption responses under macro uncertainty.","Quantitative magnitudes depend on calibrated targets, parameter invariance, equilibrium closure, and sensitivity; matching calibration moments is not independent validation.",
JF,2020,10.1111/jofi.12900,Informational Frictions and the Credit Crunch,theory_empirics_hybrid_intermediation_markets,section_specific,abstract; introduction; model/mechanism; discriminating predictions; empirical mapping/tests; alternatives/boundaries; conclusion,"Moves from an informational-friction mechanism to a two-stage empirical design, explicitly discusses identification, and contrasts estimates with a naïve model that ignores common information.","Empirical facts can support discriminating predictions but do not validate every model primitive; keep motivating, targeted, and genuinely untargeted evidence distinct.",
JF,2021,10.1111/jofi.13072,Leverage Regulation and Market Structure: A Structural Model of the U.K. Mortgage Market,structural_estimation_intermediation_markets,core,abstract; introduction; model; structural identification/estimation; fit/validation; counterfactuals/welfare or decomposition; conclusion,"Maps borrower demand, lender pricing, and default into distinct parameter blocks, explains identification, and reports leverage-regulation counterfactuals after estimation.","Parameter estimates and counterfactuals are conditional on the model, normalizations, identifying moments, and equilibrium closure; statistical precision does not remove misspecification risk.",
JF,2021,10.1111/jofi.12963,Mortgage Design in an Equilibrium Model of the Housing Market,quantitative_calibrated_intermediation_markets,core,abstract; introduction; model; calibration/targets; fit/validation; quantitative results/counterfactuals; conclusion,"Presents household choices and equilibrium before calibration, checks simulated model behavior against data and quasi-experimental default evidence, and compares mortgage designs and welfare.","Quantitative magnitudes depend on calibrated targets, parameter invariance, equilibrium closure, and sensitivity; matching calibration moments is not independent validation.",
JF,2021,10.1111/jofi.12992,Financial Fragility with SAM?,quantitative_calibrated_asset_pricing_macro,section_specific,abstract; introduction; model; calibration/targets; fit/validation; quantitative results/counterfactuals; conclusion,"Builds the equilibrium and calibration around a transparent fixed-rate-mortgage benchmark, using the benchmark to show which fragility mechanism the richer model adds.","Quantitative magnitudes depend on calibrated targets, parameter invariance, equilibrium closure, and sensitivity; matching calibration moments is not independent validation.",
JF,2022,10.1111/jofi.13159,Bank Market Power and Monetary Policy Transmission: Evidence from a Structural Estimation,structural_estimation_intermediation_markets,core,abstract; introduction; model; structural identification/estimation; fit/validation; counterfactuals/welfare or decomposition; conclusion,"Maps banking frictions into moment conditions, reports parameter estimates and external validation, and removes frictions one at a time before interpreting monetary-policy counterfactuals.","Friction decompositions are model-implied, not separate causal experiments; external validation and sensitivity do not make the monetary-policy closure model free.",
JF,2022,10.1111/jofi.13158,Quantifying Reduced-Form Evidence on Collateral Constraints,structural_estimation_asset_pricing_macro,core,abstract; introduction; model; structural identification/estimation; fit/validation; counterfactuals/welfare or decomposition; conclusion,"Explains how reduced-form collateral evidence maps into a structural model, provides parameter-identification diagnostics, and studies misspecification through auxiliary models.","Parameter estimates and counterfactuals are conditional on the model, normalizations, identifying moments, and equilibrium closure; statistical precision does not remove misspecification risk.",
JF,2022,10.1111/jofi.13174,"Rising Intangible Capital, Shrinking Debt Capacity, and the U.S. Corporate Savings Glut",quantitative_calibrated_corporate_household,core,abstract; introduction; model; calibration/targets; fit/validation; quantitative results/counterfactuals; conclusion,"Connects stylized facts on intangibles and cash to a calibrated corporate-cash model, reports fit, and sizes the main mechanism against alternative quantitative counterfactuals.","Quantitative magnitudes depend on calibrated targets, parameter invariance, equilibrium closure, and sensitivity; matching calibration moments is not independent validation.",
JF,2022,10.1111/jofi.13090,Predictably Unequal? The Effects of Machine Learning on Credit Markets,theory_empirics_hybrid_intermediation_markets,section_specific,abstract; introduction; model/mechanism; discriminating predictions; empirical mapping/tests; alternatives/boundaries; conclusion,"Uses a simple framework to derive how prediction technologies can change credit-market outcomes, then compares model performance, race information, robustness, and equilibrium implications.","Empirical facts can support discriminating predictions but do not validate every model primitive; keep motivating, targeted, and genuinely untargeted evidence distinct.",
JF,2023,10.1111/jofi.13213,A Model of Systemic Bank Runs,pure_theory_intermediation_markets,core,abstract; introduction; model setup; equilibrium/propositions; intuition/comparative statics; welfare/policy or extensions; conclusion,"Progresses from a baseline bank-run environment to equilibrium characterization, liquid-asset extensions, cross-bank feedback, welfare externalities, and policy implications, with proofs separated.","The systemic-run mechanism and policy results depend on coordination, asset-price feedback, and equilibrium assumptions; proof density and section length are not templates.",
JF,2023,10.1111/jofi.13206,Equilibrium Bitcoin Pricing,quantitative_calibrated_asset_pricing_macro,section_specific,abstract; introduction; model; calibration/targets; fit/validation; quantitative results/counterfactuals; conclusion,"Defines the equilibrium pricing mechanism first and then makes the calibration procedure, parameter values, and quantitative implications separately inspectable.","Quantitative magnitudes depend on calibrated targets, parameter invariance, equilibrium closure, and sensitivity; matching calibration moments is not independent validation.",
JF,2024,10.1111/jofi.13318,A q Theory of Internal Capital Markets,quantitative_calibrated_intermediation_markets,core,abstract; introduction; model; calibration/targets; fit/validation; quantitative results/counterfactuals; conclusion,"Uses a first-best benchmark to expose the internal-capital-market friction, characterizes solution regions, and connects the mechanism to quantitative policy comparisons.","Quantitative magnitudes depend on calibrated targets, parameter invariance, equilibrium closure, and sensitivity; matching calibration moments is not independent validation.",
JF,2024,10.1111/jofi.13357,Money and Banking with Reserves and CBDC,pure_theory_intermediation_markets,core,abstract; introduction; model setup; equilibrium/propositions; intuition/comparative statics; welfare/policy or extensions; conclusion,"Introduces reserves and CBDC inside one banking equilibrium, follows with general-equilibrium transmission and Ramsey policy, and keeps the calibration in a supporting role.","The normative or comparative-static result is conditional on the stated information, timing, equilibrium selection, and welfare criterion; do not transplant the proposition or policy sign without those primitives.",
JF,2024,10.1111/jofi.13361,Information Aggregation with Asymmetric Asset Payoffs,pure_theory_asset_pricing_macro,section_specific,abstract; introduction; model setup; equilibrium/propositions; intuition/comparative statics; welfare/policy or extensions; conclusion,Develops one general information-aggregation mechanism through three progressively transparent examples and uses a small calibration only after the qualitative logic is clear.,"The normative or comparative-static result is conditional on the stated information, timing, equilibrium selection, and welfare criterion; do not transplant the proposition or policy sign without those primitives.",
JF,2025,10.1111/jofi.13408,Dynamic Competition in Negotiated Price Markets,structural_estimation_intermediation_markets,core,abstract; introduction; model; structural identification/estimation; fit/validation; counterfactuals/welfare or decomposition; conclusion,"Defines negotiated-market timing and equilibrium, estimates the dynamic model, compares benchmark and single-friction fit, and reserves policy experiments for the final evidentiary stage.","Parameter estimates and counterfactuals are conditional on the model, normalizations, identifying moments, and equilibrium closure; statistical precision does not remove misspecification risk.",
JF,2025,10.1111/jofi.13470,"Too Much, Too Soon, for Too Long: The Dynamics of Competitive Executive Compensation",pure_theory_corporate_household,core,abstract; introduction; model setup; equilibrium/propositions; intuition/comparative statics; welfare/policy or extensions; conclusion,"Begins with a two-period example, scales to a full dynamic equilibrium, characterizes inefficiency, and links quantitative welfare criteria and noncompete policy to the mechanism.","The normative or comparative-static result is conditional on the stated information, timing, equilibrium selection, and welfare criterion; do not transplant the proposition or policy sign without those primitives.",
JFE,2020,10.1016/j.jfineco.2020.06.017,Financial intermediation and capital reallocation,quantitative_calibrated_intermediation_markets,core,abstract; introduction; model; calibration/targets; fit/validation; quantitative results/counterfactuals; conclusion,"Uses a two-period model for intuition before the dynamic model, aggregation, calibration, simulation, and quantitative reallocation results, with propositions and computation separated.","Quantitative magnitudes depend on calibrated targets, parameter invariance, equilibrium closure, and sensitivity; matching calibration moments is not independent validation.",
JFE,2020,10.1016/j.jfineco.2019.10.004,"Capital Requirements, Risk Choice, and Liquidity Provision in a Business-Cycle Model",quantitative_calibrated_intermediation_markets,core,abstract; introduction; model; calibration/targets; fit/validation; quantitative results/counterfactuals; conclusion,"Maps a business-cycle bank model to data and calibrated parameters before studying optimal capital requirements, liquidity provision, welfare, and sensitivity of welfare results.","Quantitative magnitudes depend on calibrated targets, parameter invariance, equilibrium closure, and sensitivity; matching calibration moments is not independent validation.",
JFE,2020,10.1016/j.jfineco.2019.11.003,Managerial Control Benefits and Takeover Market Efficiency,structural_estimation_intermediation_markets,core,abstract; introduction; model; structural identification/estimation; fit/validation; counterfactuals/welfare or decomposition; conclusion,"Moves from takeover equilibrium to an SMM estimator, moment selection, parameter estimates, model fit, and a firm-value decomposition, followed by robustness and model discussion.","Parameter estimates and counterfactuals are conditional on the model, normalizations, identifying moments, and equilibrium closure; statistical precision does not remove misspecification risk.",
JFE,2021,10.1016/j.jfineco.2020.07.005,Reputation and investor activism: A structural approach,structural_estimation_asset_pricing_macro,core,abstract; introduction; model; structural identification/estimation; fit/validation; counterfactuals/welfare or decomposition; conclusion,"Makes each reputation and campaign-cost parameter traceable to a distinct source of variation, compares a no-reputation model, checks fit, and then runs activism counterfactuals.","Parameter estimates and counterfactuals are conditional on the model, normalizations, identifying moments, and equilibrium closure; statistical precision does not remove misspecification risk.",
JFE,2021,10.1016/j.jfineco.2021.05.010,Network risk and key players: A structural analysis of interbank liquidity,structural_estimation_intermediation_markets,section_specific,abstract; introduction; model; structural identification/estimation; fit/validation; counterfactuals/welfare or decomposition; conclusion,"Connects a network model to interbank data, states structural identification and estimates, and compares decentralized equilibrium with the planner’s allocation and key-player rankings.","Parameter estimates and counterfactuals are conditional on the model, normalizations, identifying moments, and equilibrium closure; statistical precision does not remove misspecification risk.",
JFE,2021,10.1016/j.jfineco.2020.07.018,The Sources of Financing Constraints,structural_estimation_asset_pricing_macro,core,abstract; introduction; model; structural identification/estimation; fit/validation; counterfactuals/welfare or decomposition; conclusion,"Nests three models of financing constraints, uses indirect inference and policy functions for identification and model selection, and runs counterfactuals only after statistical comparison.",Model selection among three maintained structures is stronger than one-model fit but does not establish that the surviving specification is uniquely true.,
JFE,2022,10.1016/j.jfineco.2022.04.007,Financial transaction taxes and the informational efficiency of financial markets: A structural estimation,structural_estimation_intermediation_markets,core,abstract; introduction; model; structural identification/estimation; fit/validation; counterfactuals/welfare or decomposition; conclusion,"Combines equilibrium propositions with structural estimates, model-fit checks, tax calibration, and welfare analysis so the financial-transaction-tax claim is explicitly model conditional.","Parameter estimates and counterfactuals are conditional on the model, normalizations, identifying moments, and equilibrium closure; statistical precision does not remove misspecification risk.",
JFE,2022,10.1016/j.jfineco.2022.09.003,Product market strategy and corporate policies,structural_estimation_intermediation_markets,core,abstract; introduction; model; structural identification/estimation; fit/validation; counterfactuals/welfare or decomposition; conclusion,"Links product characteristics to comparative statics, states estimation and identification, reports non-targeted moments, and separates counterfactuals from robustness.","Parameter estimates and counterfactuals are conditional on the model, normalizations, identifying moments, and equilibrium closure; statistical precision does not remove misspecification risk.",
