evidence_set,journal,canonical_year,doi,title,subtype,held_out_reason,evaluation_use,metadata_note
general-writing,JF,2023,10.1111/jofi.13197,Bayesian Solutions for the Factor Zoo: We Just Ran Two Quadrillion Models,generalization_stress_test,Strong contribution but highly specialized Bayesian/SDF exposition and rapid entry into technical detail reduce general transferability.,Test whether the asset-pricing skill handles high-dimensional method papers without forcing the selected factor-testing scaffold.,
general-writing,JF,2022,10.1111/jofi.13126,Long-Run Risk: Is It There?,generalization_stress_test,Extensive test families could teach a robustness laundry list if used as the main anchor.,Test whether validation is grouped by failure mode rather than by the order of specifications.,
general-writing,JF,2022,10.1111/jofi.13119,Common Risk Factors in Cryptocurrency,generalization_stress_test,"Clear modules but too many predictors, mechanisms, and additional-result blocks for a compact general model.",Test compression and prioritization for a broad emerging-asset paper.,
general-writing,JF,2025,10.1111/jofi.13402,Carbon Returns across the Globe,generalization_stress_test,"The corrective, debate-facing framing and strong truth-language are useful locally but unsafe to generalize.",Test whether a replication/correction task preserves evidentiary caution.,
general-writing,JFE,2025,10.1016/j.jfineco.2025.104076,CRISK: Measuring the climate risk exposure of the financial system,generalization_stress_test,"Validation and mechanism architecture is useful, but the local introduction is truncated and the metric is topic-specific.",Test measurement-paper routing without relying on a clean extracted introduction.,
general-writing,JFE,2025,10.1016/j.jfineco.2024.103950,Customer data access and fintech entry: Early evidence from open banking,generalization_stress_test,"Strong abstract and quantitative combination, but the local source does not support a reliable full-introduction audit.",Test source-boundary behavior when one section is unavailable or corrupted.,
general-writing,JFE,2025,10.1016/j.jfineco.2025.104039,"Investor demand, firm investment, and capital misallocation",generalization_stress_test,"Strong structural introduction, but the abstract extraction is damaged and the teaching function overlaps the selected quantitative model.",Test a structural capital-markets application on an unseen topic.,
general-writing,JFE,2024,10.1016/j.jfineco.2024.103887,The reserve supply channel of unconventional monetary policy,generalization_stress_test,The model-to-demand-system-to-counterfactual sequence is sound but overlaps the selected structural intermediation anchors.,Test whether the skill transfers to monetary-policy plumbing.,
general-writing,RFS,2024,10.1093/rfs/hhad089,Disclosure of Bank-Specific Information and the Stability of Financial Systems,generalization_stress_test,"The phrase robust disclosure is a model concept, not a robustness section, making it a useful keyword-screen counterexample.",Test that routing and section recognition use semantics rather than keyword presence.,
asset-pricing,JF,2022,10.1111/jofi.13166,Financial Crises and Political Radicalization: How Failing Banks Paved Hitler’s Path to Power,historical_causal_extraction_stress,Strong historical causal architecture with source-extraction limitations was reserved from general rule induction.,"Test whether historical setting, bank failure exposure, political outcomes, mechanisms, and scope remain distinct.",Use the source PDF for article-level quotations or damaged front matter.
asset-pricing,RFS,2024,10.1093/rfs/hhad064,Diverse Hedge Funds,fund_measurement_generalization,Reserved to test portfolio-level transfer to heterogeneous hedge-fund strategies.,"Test whether diversity measures, performance, selection, and investor implications remain calibrated.",
asset-pricing,JFE,2025,10.1016/j.jfineco.2025.104148,When do short sellers trade? Evidence from intraday data and implications for informed trading models,intraday_model_discrimination,Reserved to test fact-to-model discrimination in a high-frequency trading setting.,"Test whether intraday facts, informed-trading hypotheses, robustness, and data limits are compressed without causal overreach.",
asset-pricing,JF,2024,10.1111/jofi.13298,The Virtue of Complexity in Return Prediction,ml_prediction,The random-matrix argument is technically specialized and the selected core already contains substantial machine-learning coverage.,Tests whether the skill can translate overparameterization theory into an economically interpretable portfolio claim.,
asset-pricing,JFE,2024,10.1016/j.jfineco.2024.103837,In-sample and out-of-sample Sharpe ratios of multi-factor asset pricing models,factor_sdf_model_tests,Its narrow Sharpe-ratio criterion overlaps broader selected model-comparison papers and is less transferable to nontraded factors.,Tests whether the skill distinguishes apparent factor improvement from the out-of-sample cost of estimating many parameters.,
asset-pricing,JFE,2024,10.1016/j.jfineco.2024.103805,Is it alpha or beta? Decomposing hedge fund returns when models are misspecified,fund_institutional_performance,The paper is technically dense with 53 extracted headings and would be a poor default architecture for a concise fund paper.,Tests whether the skill can explain performance decomposition when the benchmark itself is misspecified.,Some Greek symbols are damaged in MinerU OCR; consult the PDF before reproducing notation.
asset-pricing,JFE,2024,10.1016/j.jfineco.2023.103759,Learning about the consumption risk exposure of firms,consumption_risk_measurement_transfer,Reserved to test measurement and learning claims in consumption-based asset pricing.,"Test whether exposure construction, uncertainty, and pricing implications remain distinct.",
asset-pricing,JFE,2025,10.1016/j.jfineco.2025.104059,The return of return dominance: Decomposing the cross-section of prices,return_facts_anomalies,Its 47 extracted headings and six-model comparison create a strong stress test but an overly expansive default section plan.,Tests whether the skill can compress a long decomposition paper around one economically meaningful percentage split.,
asset-pricing,RFS,2025,10.1093/rfs/hhae019,News and Asset Pricing: A High-Frequency Anatomy of the SDF,factor_sdf_model_tests,The multi-stage text and high-frequency SDF pipeline overlaps the selected narrative-asset-pricing paper and carries substantial generated-object risk.,"Tests whether the skill can keep SDF estimation, event linkage and textual interpretation as distinct evidentiary layers.",Final publication year is 2025 but the canonical source package is relocated from the 2024 source folder.
asset-pricing,RFS,2025,10.1093/rfs/hhae067,Risk-Adjusted Returns of Private Equity Funds: A New Approach,fund_institutional_performance,The cash-flow-only private-equity setting and lognormality assumptions are too specialized for the core fund-performance scaffold.,Tests whether the skill can motivate a new performance measure through noise reduction and statistical power rather than novelty alone.,
asset-pricing,RFS,2025,10.1093/rfs/hhae087,Can Equity Option Returns Be Explained by a Factor Model? IPCA Says Yes,factor_sdf_model_tests,It overlaps the selected JFE option-IPCA exemplar and is best reserved for checking journal and sample transfer.,Provides an independent test of whether the skill can connect conditional loadings to option-factor performance.,
asset-pricing,RFS,2025,10.1093/rfs/hhaf036,Fast and Slow Arbitrage: The Predictive Power of (Persistent) Capital Flows for Factor Returns,market_efficiency_limits_implementation,Its 31 headings and several mutually dependent designs make it valuable as a complexity stress test rather than a default template.,"Tests whether the skill can maintain a clear causal and predictive hierarchy across persistent flows, frequency decomposition and an IV.",
asset-pricing,RFS,2025,10.1093/rfs/hhaf057,Short-Term Reversals and Longer-Term Momentum around the World: Theory and Evidence,theory_empirical_measurement,The specialized noise-trader model and broad international test suite overlap selected theory-empirical exemplars.,Tests whether the skill can map one equilibrium mechanism into a sequence of new predictions across return horizons.,
causal-empirical,JF,2023,10.1111/jofi.13209,Did FinTech Lenders Facilitate PPP Fraud?,policy_design_transfer,Reserved to test outcome definition and concurrent-policy threats in a FinTech policy setting.,"Test whether the causal skill distinguishes access, fraud, selection, and policy-incidence claims.",
causal-empirical,JF,2023,10.1111/jofi.13277,Household Liquidity Constraints and Labor Market Outcomes: Evidence from a Danish Mortgage Reform,design_transfer_stress_test,Mortgage reform and labor outcomes reserved for policy/household external-validity testing.,Mortgage reform and labor outcomes reserved for policy/household external-validity testing.,
causal-empirical,JF,2025,10.1111/jofi.13448,Are CEOs Rewarded for Luck? Evidence from Corporate Tax Windfalls,policy_windfall_transfer,Reserved to test treatment definition and compensation-incidence claims in a tax-windfall design.,"Test whether luck, performance, pay, and governance heterogeneity remain distinct claims.",
causal-empirical,JF,2025,10.1111/jofi.13466,Does Saving Cause Borrowing? Implications for the Coholding Puzzle,design_transfer_stress_test,Savings intervention and borrowing puzzle reserved for RCT/IV estimand separation.,Savings intervention and borrowing puzzle reserved for RCT/IV estimand separation.,
causal-empirical,JFE,2020,10.1016/j.jfineco.2020.07.002,The price effects of liquidity shocks: A study of the SEC’s tick size experiment,design_transfer_stress_test,SEC tick-size experiment reserved for treatment-spillover and market-design testing.,SEC tick-size experiment reserved for treatment-spillover and market-design testing.,
causal-empirical,JFE,2021,10.1016/j.jfineco.2021.07.005,High-cost debt and perceived creditworthiness: Evidence from the UK,design_transfer_stress_test,UK credit threshold setting reserved for local-effect and perceived-creditworthiness claims.,UK credit threshold setting reserved for local-effect and perceived-creditworthiness claims.,
causal-empirical,JFE,2024,10.1016/j.jfineco.2024.103793,Human capital risk and portfolio choices: Evidence from university admission discontinuities,design_transfer_stress_test,Admission discontinuity reserved for human-capital risk and portfolio-choice RDD transfer.,Admission discontinuity reserved for human-capital risk and portfolio-choice RDD transfer.,
causal-empirical,JFE,2025,10.1016/j.jfineco.2025.104142,Financial constraints and the racial housing gap,design_transfer_stress_test,Racial housing gap reserved for distributional outcomes and causal-claim calibration.,Racial housing gap reserved for distributional outcomes and causal-claim calibration.,
causal-empirical,RFS,2022,10.1093/rfs/hhab075,Creditor Control of Corporate Acquisitions,design_transfer_stress_test,Creditor control reserved for multi-stage corporate-event design and selection concerns.,Creditor control reserved for multi-stage corporate-event design and selection concerns.,
causal-empirical,RFS,2023,10.1093/rfs/hhad034,Field of Study and Financial Problems: How Economics Reduces the Risk of Default,design_transfer_stress_test,Field-of-study discontinuity reserved for manipulation/local-comparison guidance.,Field-of-study discontinuity reserved for manipulation/local-comparison guidance.,
causal-empirical,RFS,2024,10.1093/rfs/hhad079,Gender Bias in Promotions: Evidence from Financial Institutions,design_transfer_stress_test,Promotion bias setting reserved for institutional assignment and mechanism tests.,Promotion bias setting reserved for institutional assignment and mechanism tests.,
causal-empirical,RFS,2025,10.1093/rfs/hhae088,"Return Predictability, Expectations, and Investment: Experimental Evidence",design_transfer_stress_test,Experimental expectations paper reserved for lab-to-field scope and outcome mapping.,Experimental expectations paper reserved for lab-to-field scope and outcome mapping.,
intermediation-markets,JF,2020,10.1111/jofi.12969,"Every Cloud Has a Silver Lining: Fast Trading, Microwave Connectivity, and Trading Costs",dealer_otc_venues_orderflow_price_discovery,Keep held out for evaluation; do not use to derive the current rules.,Tests whether the skill distinguishes latency competition from generic technology adoption.,
intermediation-markets,JF,2021,10.1111/jofi.12991,Liquidity Supply in the Corporate Bond Market,dealer_otc_venues_orderflow_price_discovery,Keep held out for evaluation; do not use to derive the current rules.,Tests joint interpretation of dealer inventory customer liquidity and bond-market incidence.,
intermediation-markets,JF,2022,10.1111/jofi.13110,Payment System Externalities,regulation_fintech_market_design,Keep held out for evaluation; do not use to derive the current rules.,Tests whether payment-network externalities are written with an explicit welfare benchmark.,
intermediation-markets,JF,2025,10.1111/jofi.13454,Dynamic Banking and the Value of Deposits,deposits_funding_capital_liquidity,Keep held out for evaluation; do not use to derive the current rules.,Tests whether a dynamic deposit-franchise model is kept distinct from reduced-form bank evidence.,
intermediation-markets,JFE,2020,10.1016/j.jfineco.2019.11.006,Liquidity supply by broker-dealers and real activity,dealer_otc_venues_orderflow_price_discovery,Keep held out for evaluation; do not use to derive the current rules.,Tests the bridge from dealer balance sheets to market liquidity and real outcomes.,
intermediation-markets,RFS,2024,10.1093/rfs/hhad096,"Credit Freezes, Equilibrium Multiplicity, and Optimal Bailouts in Financial Networks",network_fragility_transfer,Reserved as a network equilibrium and policy stress test outside the selected intermediation portfolio.,"Test whether runs, multiplicity, propagation, and bailout welfare remain model-conditioned.",
intermediation-markets,JFE,2022,10.1016/j.jfineco.2022.09.001,Measuring the welfare cost of asymmetric information in consumer credit markets,screening_contracting_collateral,Keep held out for evaluation; do not use to derive the current rules.,Tests whether welfare claims remain conditional on selection and model structure.,
intermediation-markets,JFE,2024,10.1016/j.jfineco.2024.103859,When failure is an option: Fragile liquidity in over-the-counter markets,networks_runs_fire_sales_systemic_risk,Keep held out for evaluation; do not use to derive the current rules.,Tests whether OTC failure options are translated into observable liquidity predictions.,
intermediation-markets,RFS,2022,10.1093/rfs/hhab022,Swing Pricing and Fragility in Open-End Mutual Funds,networks_runs_fire_sales_systemic_risk,Keep held out for evaluation; do not use to derive the current rules.,Tests policy writing that jointly treats dilution redemption and equilibrium fragility.,
intermediation-markets,RFS,2022,10.1093/rfs/hhab116,The Real Effects of Secondary Market Trading Structure: Evidence from the Mortgage Market,dealer_otc_venues_orderflow_price_discovery,Keep held out for evaluation; do not use to derive the current rules.,Tests the bridge from secondary-market design to primary credit and real outcomes.,
intermediation-markets,RFS,2024,10.1093/rfs/hhad086,Stress Testing and Bank Lending,regulation_fintech_market_design,Keep held out for evaluation; do not use to derive the current rules.,Tests whether stress-test exposure lending response and substitution are kept separate.,
